RCP_TTL,CKG_NM,CKG_MTRL_CN
소고기볶음밥,소고기볶음밥,"소고기 약 ,버섯 잘게썬것,쥬키니호박,캔햄 ,대파 송송썬것,달걀  소금,굴소스,참기름,후추,깨,소금  간장,맛술,설탕,마늘,파,매실액,참기름,후추"
초간단요리 비법이라고 해서 양파를 넣고 끓인 솔직후기 소고기미역국,소고기미역국,"건 미역,국거리 소고기 그램,다시마물,마늘,참기름식용유,국간장,소금"
쉽고 간단하게! 끓이지않는 새우장과 새우구이,새우구이,"블랙 타이거  마요네즈,파슬리 가루, 마늘,버터,날치알,소금,후추"
삼시세끼 차줌마 차승원 제육볶음 레시피 그대로~만들기♬,제육볶음,"돼지고기,양파,대파 간장스푼,고춧가루,양파 간거스푼,마늘,올리고당스푼,미림,후추"
떡볶이 위에 거대한 통다리가 올라갔다?! 희대의 그 메뉴!통다리떡볶이!!,떡볶이,"가래떡,양파,파,고추장,올리고당,물"
제육볶음 만드는 방법  한그릇 요리로도 최고!,제육볶음,"베이컨용 삼겹살,양파,청양고추,대파 줄 고춧가루 수저,고추장 수저,간장 수저,참기름 수저,설탕 수저,물엿 수저,마늘 수저,생강가루,소주,후추,깨"
#돼지고기제육볶음 [삼겹살돼지고기볶음],삼겹살제육볶음,"삼겹살,채 썬 파,설탕,물,양파,당근,양배추 통,참기름  고추장,간마늘,고춧가루,간장"
[순대볶음] 매콤 달콤한 순대볶음에 한잔 어때요? -양싸,순대볶음,"당면,양배추,깻잎,양파,당근,고구마,들깨가루,카놀라유,청양고추,대파,홍고추,물  고춧가루,고추장,마늘,간장,참기름,꿀,후추,깨,두반장"
절대 실패없는 제육볶음 황금레시피 감칠맛과 매운맛이 좋아요~!!,제육볶음,"돼지고기,각종야채,올리고당 취향따라,간장,매실청,마늘,후추,사이다  간장,맛술, 마늘,생강,고추장,설탕,고추가루,양파 간거 농도따라서,후추 살짝"
백종원 닭볶음탕 ,닭볶음탕,"닭,감자,양파,당근,고춧가루 ,간장"
잡채 중화덮밥 고추잡채 모든걸 한큐에!팬 하나로 가능한 만능볶음,잡채,"당면, 돼지고기,새송이버섯,당근,양파,파프리카,피망,숙주나물,오이,자색양배추,식용유  간장,매실청,파,마늘,참기름  간장,매실청,참기름,깨"
호박죽 끓이는 법,호박죽,"늙은호박,단호박,삶은 팥,물,찹쌀가루  소금,설탕  호박씨해바라기씨"
굴 미역국,굴미역국,"불린미역,무,굴,청양고추 국간장,참기름,소금,마늘,쌀뜨물"
맥주안주로도 좋은 빨간 떡볶이 맛있게 만들기,떡볶이,"떡볶이떡,계란,무,양배추 고추장,고추가루,설탕,물"
뜨끈한 어묵탕 만들기,어묵탕,"오뎅,무  물 리터,육수용멸치,건새우,대파 뼘길이,통마늘 알,통후추 알,혼다시 또는 다시다,맛소금,양파,북어대가리,미림,다시마  국간장,후추 꼬집"
한 그릇으로 뚝딱! [김치볶음밥] 만들기,김치볶음밥," 김치, 햄,쪽파,계란, 모짜렐라치즈,간장,고춧가루"
뷰코 코코넛 반쎄오,반세오,"계란,쌀가루,강황가루,칵테일새우, 닭,숙주,빨강 파프리카,노랑 파프리카  청양고추,물,올리브유,간장,생강술,마늘,참기름,후추  피쉬소스,청양고추"
그냥 잡채 말고  '매운잡채' 만들어봐요 ! ,잡채,"배추,양파,대파,양념한불린콩고기,새송이버섯,목이버섯,당면,쌀엿올리고당,들기름,소금,후추  집간장,발효액,들기름,포도씨유,깨  집간장,발효액,몰라시스 비정제 사탕수수당,들기름"
초간단 떡국 끓이기,떡국,"계란,물,콩기름  떡국 떡,계란,쇠고기,대파,간장,멸치 액젓,참기름,콩기름,마늘,후추"
단짠단짠 아이간식 굿굿 ! 간장떡볶이 ,간장떡볶이,"짧은 가래떡   마요네즈,간장,설탕"
잘 말아줘~~잘 눌러줘~~옆구리 터지지않게 김밥만들기~~,김밥,"김밥패키지,당근,계란,시금치,밥 소금,설탕,참기름,깨"
#돼지고기수육 [김장김치하면 찰떡수육보쌈],돼지고기수육,"돼지고기,식용유,양조간장,마스코바도 설탕,맛술,생강청,물 리터,통후추,마늘쫑 새우젓,마늘,고춧가루,맛술,물,깨소금,참기름"
잡채,잡채,"불린당면,돌려깍은오이,당근,목이버섯,새송이버섯,어묵 식용유,간장,참기름,마늘,소금"
비빔밥 만들기~,비빔밥,"고추장,설탕,마늘,매실청,참기름,깨 "
양념맛이 예술인 새콤달콤 백종원 골뱅이무침 황금 레시피,골뱅이무침,"골뱅이 캔,파,진미채,양파,오이,소면 초고추장 ,참기름,깨"
쫄깃한 비법 대공개 ♥ 감자전,감자전,"감자,양파 거,부침가루  소금"
계란 볶음밥 만들기 ,계란볶음밥,"계란,씻은김치,당근,밥 오일,깨,케첩"
자취생의 간단한 김치볶음밥으로 푸짐한 한끼 식사,김치볶음밥,"김치 작게 썬거,밥"
귀한 인삼을 넣은 골벵이 무침,골뱅이무침,"통조림 골뱅이,오이,양파,새싹채소 듬뿍,날치알,빨간 피망,노란 파프리카, 마늘,깨소금 고추장,식초,설탕,고춧가루  설탕,소금,식초,물"
 밥도둑 묵은지 닭볶음탕,묵은지닭볶음탕,"묵은지, 닭,무,양파,당근,감자,간장  고춧가루  설탕  맛술  케찹   마늘   생강  카레가루  매실액  후추,고추장 밥"
수미네 반찬 잡채 레시피 :: 명불허전 잔치요리 대명사 이건 맛의 대잡채,잡채,"돼지고기,파프리카 노란색,파프리카 빨간색,양파,당근,표고버섯,어묵,시금치,당면  간장,맛술,설탕,후추,마늘  간장,설탕,후추,참기름,깨,당면 삶는물 대접 진간장 ,소금 꼬집"
진한 북어국 황태국 끓이는 방법!,북어국,"북어포,참기름 밥 수저,국간장 밥 수저,쯔유옵션 밥 수저,소금 꼬집,계란"
아이들도 좋아하는 동태전 (대구전),동태전,"동태포,달걀,밀가루,소금,후추,식용유"
피로 회복을 날려줄 쭈꾸미 볶음 레시피!!,쭈꾸미볶음,"콩나물,파,쭈꾸미,양파 마늘,매실액,소주,고춧가루,진간장,고추장"
닭볶음탕,닭볶음탕,"닭,감자,양파,대파,떡,느타리버섯,물  고추장,고춧가루,간장,청주,설탕,마늘,후추"
강식당2 김치밥 레시피~ 누룽지와 치즈의 환상궁합!,김치밥,"김치, 대파,설탕,간장,고춧가루, 모짜렐라치즈,옥수수콘,마요네즈"
주말저녁 메뉴로 닭볶음탕,닭볶음탕,"닭,양파,감자,당근,대파,설탕,간장,고춧가루,마늘"
간단저녁밥상  콩나물밥 만들기,콩나물밥,"쌀,콩나물  쪽파 대,진간장,마늘,참기름,올리고당,고춧가루,부순 깨"
한그릇음식 오므라이스 뚝딱 만드는 요리,오므라이스,"계란,토마토,양파,베이컨, 케찹,파슬리 돈까스소스,케찹,올리고당,굴소스,물"
제철식재료 수미네반찬 st '꼬막무침',꼬막무침,"꼬막,소금,간장,고춧가루,깨,설탕,참기름,올리고당,파 움큼"
요즘 핫한 와플기계로 만드는 초간단 볶음밥,볶음밥,"식은 달걀,스팸,칵테일새우,대파,양파,당근,소금 꼬집,간장"
봄피크닉 충무김밥 황금레시피,충무김밥," 김,오징어,무 소금,참기름,깨 설탕,식초,소금  고춧가루,액젓,설탕,소금,마늘,파,후추 고춧가루,액젓,설탕,소금,마늘,파,맛술,올리고당,참기름,깨"
닭날개 간장구이,닭날개간장구이,"닭,파인애플,어린새싹잎 맛간장,소금,향신즙 또는 미림,올리브유"
오징어볶음 간단하게 만드는법,오징어볶음,"오징어,작은 양파,대파,양배추,당근,청양고추,홍고추,참기름,깨 또는 깨소금  고추장,고춧가루, 마늘,간장,설탕,미림,올리고당   취향껏,후추"
일본식 소고기덮밥 [규동],규동,"소고기,양파, 대파  청주,소금  간장,미림,꿀"
소고기사태전골 보양요리로 최고예요.,소고기전골,"소고기 손바닥만큼,양파,무 손바닥만큼,당근,쪽파 ,숙주,건표고버섯,계란,육수용물  간장,설탕이나 올리고당,깨소금,참기름,파,마늘,후추,간장,소금,소고기,마늘,대파"
황태국 끓이는법 화끈하게 시원한 맛! 해장국으로 좋아,황태국,"황태채,무,대파,마늘 수저,계란,소금"
초간단요리 김치볶음밥,김치볶음밥," 쫑쫑 썬 김치 주걱,참치 주걱,올리고당,고춧가루,다시다,계란,깨소금"
시원하고 뽀얀 황태국,황태국,"황태,무,생 배추,대파,계란  국간장,고추장,고춧가루,매실청,맛술,고추기름,들기름,소금,후추"
장어 부럽지 않은 맛있는 양미리조림,양미리조림,"양미리,양파,대파,홍고추,식용유 일반 고춧가루,매운 고춧가루 작은,고추장,간장,설탕,맛술,물 ,마늘 ,간 생강 "
명절/손님상차림에 빠질 수 없는 잡채♪,잡채,"당면, 돼지고기,시금치 묶음,새송이버섯,양파,당근  간장,매실액,맛술,참기름, 마늘,후추  소금 꼬집,참기름,마늘,깨  간장,설탕,참기름"
<궁중떡볶이만드는법> 누구나 좋아할 만한 단짠의 지존!,궁중떡볶이,"소고기,홍고추,초록고추,올리고당,간장,떡볶이떡,양파,느타리버섯,참기름,깨소금,마늘,후추"
비오는날 생각나는 해물파전 황금레시피 :),해물파전,"해물믹스,달걀,쪽파,풋고추,후추  부침가루,물,소금  진간장,물,식초,설탕,파,마늘,고춧가루"
[담백한 카레라이스] 야채만 넣어 담백하고 더 건강한 카레 만들기  건강한 카레의 효능.,카레라이스,"고형카레,옥수수콘 통조림 통,감자,단호박,양파,당근, 닭,버터"
칼칼한 떡볶이 만드는 법,떡볶이,"멸치 움큼,다시마,떡볶이떡,어묵,쫄면,라면,계란,양파,양배추잎,깻잎,파 대 고추장,고춧가루,마늘,라면 스프,물엿,설탕,간장,고추기름,후추"
골뱅이무침,골뱅이무침,"골뱅이 통조림 통,배,상추,파,오이,양배추,청양고추,당근,소면,고춧가루,참기름,검은깨  고추장,매실액기스,식초"
월남쌈 만드는법/월남쌈소스 만들기,월남쌈,"잡채,라이스 페이퍼,통마늘,베트남 고추,올리브유,물"
자취생 간단요리<오므라이스>,오므라이스,"소고기것,버터,마늘것,당근  ,양파 ,샐러리,우스타소스,케첩,설탕,계란,참기름,식용유,소금,향신료,오레가노,넉맷,바질,후추"
시원 뜨끈 칼칼 홍합탕 끓이는 법!!,홍합탕,"홍합,무,다시마,파,청고추,붉은고추"
봄 쑥향 가득~~ 쑥 된장국 만들기,쑥된장국,"쑥,생콩가루,다시팩,건홍합,국간장,된장,새우가루,표고버섯가루,소금"
초보도 따라하는 밀푀유나베 뜨끈한 국물과 소고기 야채 잡솨봐요~,밀푀유나베,"표고버섯,배추잎,깻잎,소고기,만송이버섯,숙주,다시마,쑥갓  국간장,마늘,생강가루,천연조미료,쌀뜻물"
냉이된장국 만드는법 향긋하게,냉이된장국,"냉이,쪽파 ,두부,쌀뜨물  된장,소금,마늘"
방울양배추 넣은 간장떡볶이,간장떡볶이,"떡볶이,어묵,양파, 돼지고기,진간장,설탕"
기름떡볶이 만들기,기름떡볶이,"가래떡,대파,황설탕,진간장,참기름, 고춧가루,식용유 가래떡,소시지,설탕,진간장,케첩,고추장,물"
간장 떡볶이 레시피 만들기 너무 쉬움!,간장떡볶이,"냉동둠해물,떡볶이떡,목이버섯,파프리카,맛간장,꿀,마늘,생강 꼬집,썬 파,청주,후추,깨,참기름,검은깨"
소불고기 황금레시피,소불고기,"불고기용소고기,간장,올리고당,후추,대파,당근,양파,마늘 파프리카,쌈무,샐러드,게맛살,머스타드소스"
#잘익은 깍두기를 이용한 #깍두기볶음밥만들기 #묵은지까지 넣어서 달걀후라이 올려서 먹는 맛~~ 노른자를 터트려~~,깍두기볶음밥,"깍두기,대파,들기름,설탕, 소금,후추,깨"
더운 여름방학 점심으로~ 참치주먹밥  참치 주먹초밥  참치 초 주먹밥,참치주먹밥,"현미 참치캔 통,조미김,참기름 고추장 ,마늘 ,올리고당 ,깨소금"
알배추로 끓인 구수한 배추된장국,배추된장국,"배추잎,육수용 멸치,쌀뜨물  된장,마늘,멸치다시다,파"
닭백숙 ,닭백숙,"닭,마늘,대파,김가루,떡국떡 천일염 소금,참기름,후추"
닭다리로만 만든 치킨  쫄깃하니 오독오독 씹히는 근위튀김  ,닭똥집튀김,"닭,소금,후추,마늘,전분가루,물,식용유  식초 소주잔,설탕 소주잔,간장 소주잔,물 소주잔,마늘,홍고추,양파"
오징어볶음 l 한식자격증실기 l 시험시간 30분,오징어볶음,"오징어,양파,당근 분의,대파,청양고추  기호에따라 간장 ,맛술,설탕,올라고당,마늘,고추장,고춧가루,매실"
시원한 콩나물 김치국,콩나물김치국,"콩나물,배추김치,다시마육수  참치액,마늘"
쌀쌀한 날씨엔 역시 뜨끈한 국물이 최고인 갈비탕 끓이기,갈비탕,"소찜갈비,무,양파,파,인삼  진간장,올리고당,국간장,소금,마늘,통마늘"
백종원의 두반장없는 마파두부 황금 레시피,마파두부,"돼지고기,양파,대파,두부 소금,후추  된장,고춧가루,설탕,마늘,진간장,고추장  물,전분가루"
자취생 간단요리<탕수육>,탕수육,"돼지고기,감자전분,옥수수전분,식용유,달걀 마늘,후추,소금,연두"
톡쏘는 마라향 가득  마라 차돌박이 숙주볶음,차돌박이숙주볶음,"차돌박이,숙주,꽈리고추,양파,통마늘  굴소스,올리브유,맛술,깨,후추"
맛있는 궁중요리 떡갈비 만들기/떡갈비 레시피,떡갈비,"소고기 다짐육,새우,두부,무,당근,쪽파 대,마늘,찹쌀가루,식용유  간장,설탕,맛술,생강술,소금,후추,참기름,파 간장,스테이크소스,맛술,올리고당,유자청,물"
[콩나물불고기] 정말 간단한 콩나물 불고기 만들기 -양싸,콩나물불고기,"대패삼겹살,양파,버섯,콩나물,많을수록 맛있어요:),깻잎 고추장,고추가루,간장,설탕,후추,맛술,마늘"
초간단 재료로 한끼식사 '백종원 계란볶음밥',계란볶음밥,"대파,계란,밥 굴소스"
만물상  미슐랭 세프의 명품 제육볶음,제육볶음,"대패삼겹살,당근,대파,양파,청양고추,후추,파기름,참기름,깨소금  간장,액젓,고추장,고춧가루,된장,마늘,생강,매실청,맛술,황설탕,올리고당,물"
꼬마김밥 만들기,꼬마김밥,"밥 ,맛소금,식초,설탕,들기름,깨듬뿍 듬뿍,진매채볶음,실채볶음,김밥용김,김밥용단무지"
 맛있게 매운 닭볶음탕,닭볶음탕,"닭,우유,월계수잎 양파,감자,대파,당근,양배추,버섯,쪽파 밤,대추,불린찹쌀,통마늘,수삼 꿀고추장,간장 스푼,매실액,올리고당 스푼,마늘,청주"
얼큰한 소고기 무우국 끓이기~,소고기무국,"소고기 국거리,물,무,대파, 마늘 수저,생강가루 꼬집,국간장 수저,멸치 액젓 수저,소금 수저,후추"
[해외자취Cook.feel通]132. 해물치즈떡볶밥 레시피 ,밥,"채소육수,쌀"
고추잡채~초스피드 보드라운 풋고추로!,고추잡채,"돼지고기,홍피망,청피망,청양고추,꽃빵 간장,설탕,맛술,생강가루,굴소스,마늘"
[혼자 해먹기] 냉장고에 있는 아무재료로 잡채 만들기,잡채,"당면, 돼지고기,양파,당근,느타리버섯,시금치 단 간장,국간장,소금,후추,올리고당,올리브유,굴소스,마늘,들기름"
